0.018253,5.777970,real
0.008133,6.578356,real
0.008315,10.150708,real
0.079981,16.346699,real
0.147724,36.187460,real
0.002725,11.405012,real
0.009767,6.400993,real
0.011100,4.845289,real
0.011437,3.482982,real
0.014481,2.105265,real
0.007866,2.544708,real
0.016079,2.885471,real
0.005594,2.938616,real
0.013286,2.862846,real
0.014304,2.910946,real
0.026695,2.846337,real
0.027013,2.838774,real
0.031455,2.579217,real
0.005585,3.076320,real
0.015617,2.844386,real
0.036165,1.750556,real
0.016306,1.781383,real
0.004515,3.418680,real
0.022379,2.652471,real
0.008809,9.176740,real
0.011673,9.045596,real
0.008464,2.309924,real
0.007070,3.170310,real
0.009776,3.311567,real
0.010883,1.230973,real
0.044455,8.421327,real
0.020150,2.245580,real
0.009974,2.929907,real
0.011427,4.667260,real
0.008742,5.345347,real
0.013767,1.258783,real
0.018253,5.777970,real
0.008133,6.578356,real
0.008315,10.150708,real
0.079981,16.346699,real
0.147724,36.187460,real
0.002725,11.405012,real
0.009767,6.400993,real
0.011100,4.845289,real
0.011437,3.482982,real
0.014481,2.105265,real
0.007866,2.544708,real
0.016079,2.885471,real
0.005594,2.938616,real
0.013286,2.862846,real
0.014304,2.910946,real
0.026695,2.846337,real
0.027013,2.838774,real
0.031455,2.579217,real
0.005585,3.076320,real
0.015617,2.844386,real
0.036165,1.750556,real
0.016306,1.781383,real
0.004515,3.418680,real
0.022379,2.652471,real
0.008809,9.176740,real
0.011673,9.045596,real
0.008464,2.309924,real
0.007070,3.170310,real
0.009776,3.311567,real
0.010883,1.230973,real
0.044455,8.421327,real
0.020150,2.245580,real
0.009974,2.929907,real
0.011427,4.667260,real
0.008742,5.345347,real
0.013767,1.258783,real
0.002862,5.259223,p35p
0.005934,5.960408,p35p
0.002725,8.704934,p35p
0.095184,5.940011,p35p
0.159935,36.639544,p35p
0.002713,10.411547,p35p
0.001309,6.269202,p35p
0.001292,4.662893,p35p
0.001544,3.727975,p35p
0.003556,2.489873,p35p
0.002840,2.627683,p35p
0.006603,2.739692,p35p
0.003057,2.810212,p35p
0.004278,2.577445,p35p
0.005191,2.740443,p35p
0.004131,2.373690,p35p
0.006661,2.396594,p35p
0.009817,2.261770,p35p
0.005036,2.304379,p35p
0.009791,2.382877,p35p
0.014627,1.997010,p35p
0.002467,2.085161,p35p
0.002289,3.362385,p35p
0.001237,2.402833,p35p
0.002425,7.775921,p35p
0.004563,7.744660,p35p
0.002456,2.365115,p35p
0.003457,3.243200,p35p
0.003546,3.133231,p35p
0.002470,0.670981,p35p
0.002427,6.944568,p35p
0.002556,2.529752,p35p
0.003223,2.727287,p35p
0.003565,4.071197,p35p
0.003306,4.690590,p35p
0.001946,0.819905,p35p
0.003769,6.345317,p4p
0.002106,7.032340,p4p
0.003016,9.338846,p4p
0.099655,16.361639,p4p
0.136618,115.241914,p4p
0.002702,11.255681,p4p
0.002445,7.307752,p4p
0.001447,5.872505,p4p
0.002429,5.062828,p4p
0.002314,5.239112,p4p
0.003333,5.249961,p4p
0.003181,5.181736,p4p
0.003111,5.137402,p4p
0.000915,4.656799,p4p
0.003549,5.142292,p4p
0.001853,4.691141,p4p
0.001582,4.703536,p4p
0.001736,4.673572,p4p
0.002551,4.651018,p4p
0.010539,4.938751,p4p
0.017674,4.939161,p4p
0.003646,4.885002,p4p
0.002673,4.840206,p4p
0.004048,3.002996,p4p
0.002650,7.547712,p4p
0.002920,7.319324,p4p
0.003409,3.241037,p4p
0.003140,3.832642,p4p
0.002681,3.230782,p4p
0.003196,1.690726,p4p
0.003514,6.579120,p4p
0.002171,4.496109,p4p
0.002218,4.040368,p4p
0.004419,4.628770,p4p
0.002702,4.535136,p4p
0.001687,2.466010,p4p
